04/10/2025, A.C. PONTE S.P. - MAPSQ.B, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 1, ANDATA, FIGC
04/10/2025, FALCO, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 1, ANDATA, FIGC
04/10/2025, JUVENES GIANNI RADICISQ.B, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 1, ANDATA, FIGC
04/10/2025, LA TORRE CALCIO A.S.D., RANICA CALCIO, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 1, ANDATA, FIGC
04/10/2025, NEMBRESE 1913, CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 1, ANDATA, FIGC
11/10/2025, CALCIO GORLE A.S.D., FALCO, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 2, ANDATA, FIGC
11/10/2025, CITTA DI ALBINO S.S.Dsq.B, JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 2, ANDATA, FIGC
11/10/2025, CITTA DI ALZANO1921 ASD, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 2, ANDATA, FIGC
11/10/2025, RANICA CALCIO, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 2, ANDATA, FIGC
11/10/2025, ROVETTA U.S. A.S.D., NEMBRESE 1913, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 2, ANDATA, FIGC
18/10/2025, A.C. PONTE S.P. - MAPSQ.B, CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 3, ANDATA, FIGC
18/10/2025, CALCIO GORLE A.S.D., CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 3, ANDATA, FIGC
18/10/2025, JUVENES GIANNI RADICISQ.B, RANICA CALCIO, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 3, ANDATA, FIGC
18/10/2025, LA TORRE CALCIO A.S.D., ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 3, ANDATA, FIGC
18/10/2025, NEMBRESE 1913, FALCO, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 3, ANDATA, FIGC
25/10/2025, CITTA DI ALZANO1921 ASD, JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 4, ANDATA, FIGC
25/10/2025, FALCO, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 4, ANDATA, FIGC
25/10/2025, NEMBRESE 1913, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 4, ANDATA, FIGC
25/10/2025, RANICA CALCIO, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 4, ANDATA, FIGC
25/10/2025, ROVETTA U.S. A.S.D., A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 4, ANDATA, FIGC
01/11/2025, A.C. PONTE S.P. - MAPSQ.B, FALCO, ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 5, ANDATA, FIGC
01/11/2025, CALCIO GORLE A.S.D., RANICA CALCIO, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 5, ANDATA, FIGC
01/11/2025, CITTA DI ALBINO S.S.Dsq.B, CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 5, ANDATA, FIGC
01/11/2025, JUVENES GIANNI RADICISQ.B, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 5, ANDATA, FIGC
01/11/2025, LA TORRE CALCIO A.S.D., NEMBRESE 1913, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 5, ANDATA, FIGC
31/01/2026, CITTA DI ALBINO S.S.Dsq.B, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 1, RITORNO, FIGC
31/01/2026, ROVETTA U.S. A.S.D., FALCO, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 1, RITORNO, FIGC
31/01/2026, CALCIO GORLE A.S.D., JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 1, RITORNO, FIGC
31/01/2026, RANICA CALCIO, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 1, RITORNO, FIGC
31/01/2026, CITTA DI ALZANO1921 ASD, NEMBRESE 1913, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 1, RITORNO, FIGC
07/02/2026, FALCO, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 2, RITORNO, FIGC
07/02/2026, JUVENES GIANNI RADICISQ.B, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 2, RITORNO, FIGC
07/02/2026, LA TORRE CALCIO A.S.D., CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 2, RITORNO, FIGC
07/02/2026, A.C. PONTE S.P. - MAPSQ.B, RANICA CALCIO, ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 2, RITORNO, FIGC
07/02/2026, NEMBRESE 1913, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 2, RITORNO, FIGC
14/02/2026, CITTA DI ALZANO1921 ASD, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 3, RITORNO, FIGC
14/02/2026, CITTA DI ALBINO S.S.Dsq.B, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 3, RITORNO, FIGC
14/02/2026, RANICA CALCIO, JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 3, RITORNO, FIGC
14/02/2026, ROVETTA U.S. A.S.D., LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 3, RITORNO, FIGC
14/02/2026, FALCO, NEMBRESE 1913, ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 3, RITORNO, FIGC
21/02/2026, JUVENES GIANNI RADICISQ.B, CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 4, RITORNO, FIGC
21/02/2026, LA TORRE CALCIO A.S.D., FALCO, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 4, RITORNO, FIGC
21/02/2026, CALCIO GORLE A.S.D., NEMBRESE 1913, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 4, RITORNO, FIGC
21/02/2026, CITTA DI ALBINO S.S.Dsq.B, RANICA CALCIO, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 4, RITORNO, FIGC
21/02/2026, A.C. PONTE S.P. - MAPSQ.B, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 4, RITORNO, FIGC
28/02/2026, FALCO, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 5, RITORNO, FIGC
28/02/2026, RANICA CALCIO, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 5, RITORNO, FIGC
28/02/2026, CITTA DI ALZANO1921 ASD, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 5, RITORNO, FIGC
28/02/2026, ROVETTA U.S. A.S.D., JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 5, RITORNO, FIGC
28/02/2026, NEMBRESE 1913, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 5, RITORNO, FIGC
07/03/2026, CITTA DI ALZANO1921 ASD, RANICA CALCIO, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 6, RITORNO, FIGC
07/03/2026, FALCO, JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 6, RITORNO, FIGC
07/03/2026, LA TORRE CALCIO A.S.D., CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 6, RITORNO, FIGC
07/03/2026, NEMBRESE 1913, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 6, RITORNO, FIGC
07/03/2026, ROVETTA U.S. A.S.D., CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 6, RITORNO, FIGC
14/03/2026, A.C. PONTE S.P. - MAPSQ.B, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 7, RITORNO, FIGC
14/03/2026, CALCIO GORLE A.S.D., CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 7, RITORNO, FIGC
14/03/2026, CITTA DI ALBINO S.S.Dsq.B, FALCO, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 7, RITORNO, FIGC
14/03/2026, JUVENES GIANNI RADICISQ.B, NEMBRESE 1913, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 7, RITORNO, FIGC
14/03/2026, RANICA CALCIO, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 7, RITORNO, FIGC
21/03/2026, A.C. PONTE S.P. - MAPSQ.B, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 8, RITORNO, FIGC
21/03/2026, FALCO, RANICA CALCIO, ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 8, RITORNO, FIGC
21/03/2026, LA TORRE CALCIO A.S.D., JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 8, RITORNO, FIGC
21/03/2026, NEMBRESE 1913, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 8, RITORNO, FIGC
21/03/2026, ROVETTA U.S. A.S.D., CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 8, RITORNO, FIGC
28/03/2026, CALCIO GORLE A.S.D., ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 9, RITORNO, FIGC
28/03/2026, CITTA DI ALBINO S.S.Dsq.B, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 9, RITORNO, FIGC
28/03/2026, CITTA DI ALZANO1921 ASD, FALCO, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 9, RITORNO, FIGC
28/03/2026, JUVENES GIANNI RADICISQ.B, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 9, RITORNO, FIGC
28/03/2026, RANICA CALCIO, NEMBRESE 1913, ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 9, RITORNO, FIGC
08/11/2025, A.C. PONTE S.P. - MAPSQ.B, CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 6, ANDATA, FIGC
08/11/2025, CALCIO GORLE A.S.D., CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 6, ANDATA, FIGC
08/11/2025, JUVENES GIANNI RADICISQ.B, RANICA CALCIO, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 6, ANDATA, FIGC
08/11/2025, LA TORRE CALCIO A.S.D., ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 6, ANDATA, FIGC
08/11/2025, NEMBRESE 1913, FALCO, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 6, ANDATA, FIGC
15/11/2025, A.C. PONTE S.P. - MAPSQ.B, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 7, ANDATA, FIGC
15/11/2025, CALCIO GORLE A.S.D., CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 7, ANDATA, FIGC
15/11/2025, CITTA DI ALBINO S.S.Dsq.B, FALCO, ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 7, ANDATA, FIGC
15/11/2025, JUVENES GIANNI RADICISQ.B, NEMBRESE 1913, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 7, ANDATA, FIGC
15/11/2025, RANICA CALCIO, ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 7, ANDATA, FIGC
22/11/2025, A.C. PONTE S.P. - MAPSQ.B, CALCIO GORLE A.S.D., ESORDIENTI 12anni, D, 16:00, Ponte San Pietro VIA TRENTO TRIESTE, 8, ANDATA, FIGC
22/11/2025, FALCO, RANICA CALCIO, ESORDIENTI 12anni, D, 14:30, Albino VIA RIO RE SNC, 8, ANDATA, FIGC
22/11/2025, LA TORRE CALCIO A.S.D., JUVENES GIANNI RADICISQ.B, ESORDIENTI 12anni, D, 17:00, Torre Boldone VIALE LOMBARDIA 44, 8, ANDATA, FIGC
22/11/2025, NEMBRESE 1913, CITTA DI ALBINO S.S.Dsq.B, ESORDIENTI 12anni, D, 16:00, Nembro VIA NEMBRINI SNC, 8, ANDATA, FIGC
22/11/2025, ROVETTA U.S. A.S.D., CITTA DI ALZANO1921 ASD, ESORDIENTI 12anni, D, 15:15, Ardesio VIA LEONARDO DA VINCI, 8, ANDATA, FIGC
29/11/2025, CALCIO GORLE A.S.D., ROVETTA U.S. A.S.D., ESORDIENTI 12anni, D, 15:30, Gorle VIA ROMA 2A, 9, ANDATA, FIGC
29/11/2025, CITTA DI ALBINO S.S.Dsq.B, LA TORRE CALCIO A.S.D., ESORDIENTI 12anni, D, 14:30, Albino VIA MADONNA DEL PIANTO 22, 9, ANDATA, FIGC
29/11/2025, CITTA DI ALZANO1921 ASD, FALCO, ESORDIENTI 12anni, D, 15:30, Alzano Lombardo VIA GRAZIOLI ANG.BALDUZZI 11, 9, ANDATA, FIGC
29/11/2025, JUVENES GIANNI RADICISQ.B, A.C. PONTE S.P. - MAPSQ.B, ESORDIENTI 12anni, D, 15:30, Casnigo VIA EUROPA, 9, ANDATA, FIGC
29/11/2025, RANICA CALCIO, NEMBRESE 1913, ESORDIENTI 12anni, D, 15:00, Ranica PIAZZA L. BERTETT SNC, 9, ANDATA, FIGC


