Data,Squadra Casa,Squadra Ospite,Categoria,Girone,Ora di gioco,Indirizzo campo di gioco,Giornata,A/R,Federazione
11/10/2025,Solzese,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,1,Andata,CSI
11/10/2025,Or.Bonate Rossi,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,1,Andata,CSI
11/10/2025,Or.Bonate Bianchi,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,1,Andata,CSI
11/10/2025,Medolago,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,1,Andata,CSI
11/10/2025,Bonate Sotto 1951,Aurora Terno,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,1,Andata,CSI
18/10/2025,Villa D'Adda,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,2,Andata,CSI
18/10/2025,Bottanuco Calcio,Medolago,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,2,Andata,CSI
18/10/2025,Pontida Briantea,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,2,Andata,CSI
18/10/2025,Calusco Calcio,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,2,Andata,CSI
18/10/2025,Aurora Terno,Solzese,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,2,Andata,CSI
25/10/2025,Or.Bonate Rossi,Solzese,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,3,Andata,CSI
25/10/2025,Or.Bonate Bianchi,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,3,Andata,CSI
25/10/2025,Medolago,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,3,Andata,CSI
25/10/2025,Bonate Sotto 1951,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,3,Andata,CSI
25/10/2025,Villa D'Adda,Aurora Terno,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,3,Andata,CSI
01/11/2025,Bottanuco Calcio,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,4,Andata,CSI
01/11/2025,Pontida Briantea,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,4,Andata,CSI
01/11/2025,Calusco Calcio,Medolago,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,4,Andata,CSI
01/11/2025,Solzese,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,4,Andata,CSI
01/11/2025,Aurora Terno,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,4,Andata,CSI
08/11/2025,Or.Bonate Bianchi,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,5,Andata,CSI
08/11/2025,Medolago,Solzese,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,5,Andata,CSI
08/11/2025,Bonate Sotto 1951,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,5,Andata,CSI
08/11/2025,Villa D'Adda,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,5,Andata,CSI
08/11/2025,Bottanuco Calcio,Aurora Terno,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,5,Andata,CSI
15/11/2025,Pontida Briantea,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,6,Andata,CSI
15/11/2025,Calusco Calcio,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,6,Andata,CSI
15/11/2025,Solzese,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,6,Andata,CSI
15/11/2025,Or.Bonate Rossi,Medolago,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,6,Andata,CSI
15/11/2025,Aurora Terno,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,6,Andata,CSI
22/11/2025,Medolago,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,7,Andata,CSI
22/11/2025,Bonate Sotto 1951,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,7,Andata,CSI
22/11/2025,Villa D'Adda,Solzese,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,7,Andata,CSI
22/11/2025,Bottanuco Calcio,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,7,Andata,CSI
22/11/2025,Pontida Briantea,Aurora Terno,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,7,Andata,CSI
29/11/2025,Calusco Calcio,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,8,Andata,CSI
29/11/2025,Solzese,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,8,Andata,CSI
29/11/2025,Or.Bonate Rossi,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,8,Andata,CSI
29/11/2025,Or.Bonate Bianchi,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,8,Andata,CSI
29/11/2025,Medolago,Aurora Terno,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,8,Andata,CSI
06/12/2025,Bonate Sotto 1951,Medolago,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,9,Andata,CSI
06/12/2025,Villa D'Adda,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,9,Andata,CSI
06/12/2025,Bottanuco Calcio,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,9,Andata,CSI
06/12/2025,Pontida Briantea,Solzese,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,9,Andata,CSI
06/12/2025,Aurora Terno,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,9,Andata,CSI
07/02/2026,Calusco Calcio,Solzese,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,10,Ritorno,CSI
07/02/2026,Pontida Briantea,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,10,Ritorno,CSI
07/02/2026,Bottanuco Calcio,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,10,Ritorno,CSI
07/02/2026,Villa D'Adda,Medolago,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,10,Ritorno,CSI
07/02/2026,Aurora Terno,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,10,Ritorno,CSI
14/02/2026,Bonate Sotto 1951,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,11,Ritorno,CSI
14/02/2026,Medolago,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,11,Ritorno,CSI
14/02/2026,Or.Bonate Bianchi,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,11,Ritorno,CSI
14/02/2026,Or.Bonate Rossi,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,11,Ritorno,CSI
14/02/2026,Solzese,Aurora Terno,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,11,Ritorno,CSI
21/02/2026,Solzese,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,12,Ritorno,CSI
21/02/2026,Calusco Calcio,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,12,Ritorno,CSI
21/02/2026,Pontida Briantea,Medolago,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,12,Ritorno,CSI
21/02/2026,Bottanuco Calcio,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,12,Ritorno,CSI
21/02/2026,Aurora Terno,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,12,Ritorno,CSI
28/02/2026,Villa D'Adda,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,13,Ritorno,CSI
28/02/2026,Bonate Sotto 1951,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,13,Ritorno,CSI
28/02/2026,Medolago,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,13,Ritorno,CSI
28/02/2026,Or.Bonate Bianchi,Solzese,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,13,Ritorno,CSI
28/02/2026,Or.Bonate Rossi,Aurora Terno,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,13,Ritorno,CSI
07/03/2026,Or.Bonate Rossi,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,14,Ritorno,CSI
07/03/2026,Solzese,Medolago,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,14,Ritorno,CSI
07/03/2026,Calusco Calcio,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,14,Ritorno,CSI
07/03/2026,Pontida Briantea,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,14,Ritorno,CSI
07/03/2026,Aurora Terno,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,14,Ritorno,CSI
14/03/2026,Bottanuco Calcio,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,15,Ritorno,CSI
14/03/2026,Villa D'Adda,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,15,Ritorno,CSI
14/03/2026,Bonate Sotto 1951,Solzese,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,15,Ritorno,CSI
14/03/2026,Medolago,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,15,Ritorno,CSI
14/03/2026,Or.Bonate Bianchi,Aurora Terno,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,15,Ritorno,CSI
21/03/2026,Or.Bonate Bianchi,Medolago,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,16,Ritorno,CSI
21/03/2026,Or.Bonate Rossi,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,16,Ritorno,CSI
21/03/2026,Solzese,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,16,Ritorno,CSI
21/03/2026,Calusco Calcio,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,16,Ritorno,CSI
21/03/2026,Aurora Terno,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,16,Ritorno,CSI
28/03/2026,Pontida Briantea,Calusco Calcio,Calcio a 7,Pulcini a 7 / N,15:00,C.S. Isacchi7 (Sintetico) Via Convento 99 24030 Pontida,17,Ritorno,CSI
28/03/2026,Bottanuco Calcio,Solzese,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio Via Roma 1 24040 Bottanuco,17,Ritorno,CSI
28/03/2026,Villa D'Adda,Or.Bonate Rossi,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sintetico) Via G. Donizetti 4 24030 Villa D'Adda,17,Ritorno,CSI
28/03/2026,Bonate Sotto 1951,Or.Bonate Bianchi,Calcio a 7,Pulcini a 7 / N,16:15,Comunale 7 (Sint) Via Garibaldi 15 24040 Bonate Sotto,17,Ritorno,CSI
28/03/2026,Aurora Terno,Medolago,Calcio a 7,Pulcini a 7 / N,14:30,Oratorio (Sintetico) Via Milano 4 24030 Terno D'Isola,17,Ritorno,CSI
11/04/2026,Medolago,Bonate Sotto 1951,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Laterale Adda 2 24030 Medolago,18,Ritorno,CSI
11/04/2026,Or.Bonate Bianchi,Villa D'Adda,Calcio a 7,Pulcini a 7 / N,16:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,18,Ritorno,CSI
11/04/2026,Or.Bonate Rossi,Bottanuco Calcio,Calcio a 7,Pulcini a 7 / N,15:00,Oratorio (Sintetico) Via Papa Giovanni 3 24040 Bonate Sopra,18,Ritorno,CSI
11/04/2026,Solzese,Pontida Briantea,Calcio a 7,Pulcini a 7 / N,14:30,Comunale a 7 (Sintetico) Via Rossini 19 24030 Solza,18,Ritorno,CSI
11/04/2026,Calusco Calcio,Aurora Terno,Calcio a 7,Pulcini a 7 / N,14:30,Comunale (Sint) Via Cav. di V.Veneto 24033 Calusco D'Adda,18,Ritorno,CSI
