Data, Squadra Casa, Squadra Ospite, Categoria, Girone, Ora, Indirizzo Campo, Giornata, A/R, Federazione
12/10/2025, Nosari Bianchi, Agnelli Olimpia B, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 1, Andata, CSI
11/10/2025, Or.Albino 2017, Nosari Rossi, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 1, Andata, CSI
11/10/2025, Pol.Dei Colli, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 1, Andata, CSI
12/10/2025, San Paolo Ap, Trealbe Calcio, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 1, Andata, CSI
11/10/2025, Or.Villaggiosposi, Agnelli Olimpia R, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 1, Andata, CSI
18/10/2025, Trealbe Calcio, Or.Villaggiosposi, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 2, Andata, CSI
18/10/2025, Pol.Or.San Tomaso, San Paolo Ap, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 2, Andata, CSI
18/10/2025, Nosari Rossi, Pol.Dei Colli, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 2, Andata, CSI
18/10/2025, Agnelli Olimpia B, Or.Albino 2017, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 2, Andata, CSI
18/10/2025, Agnelli Olimpia R, Nosari Bianchi, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 2, Andata, CSI
25/10/2025, Or.Albino 2017, Nosari Bianchi, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 3, Andata, CSI
25/10/2025, Pol.Dei Colli, Agnelli Olimpia B, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 3, Andata, CSI
26/10/2025, San Paolo Ap, Nosari Rossi, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 3, Andata, CSI
25/10/2025, Or.Villaggiosposi, Pol.Or.San Tomaso, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 3, Andata, CSI
25/10/2025, Trealbe Calcio, Agnelli Olimpia R, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 3, Andata, CSI
01/11/2025, Pol.Or.San Tomaso, Trealbe Calcio, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 4, Andata, CSI
01/11/2025, Nosari Rossi, Or.Villaggiosposi, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 4, Andata, CSI
01/11/2025, Agnelli Olimpia B, San Paolo Ap, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 4, Andata, CSI
02/11/2025, Nosari Bianchi, Pol.Dei Colli, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 4, Andata, CSI
01/11/2025, Agnelli Olimpia R, Or.Albino 2017, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 4, Andata, CSI
08/11/2025, Pol.Dei Colli, Or.Albino 2017, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 5, Andata, CSI
09/11/2025, San Paolo Ap, Nosari Bianchi, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 5, Andata, CSI
08/11/2025, Or.Villaggiosposi, Agnelli Olimpia B, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 5, Andata, CSI
08/11/2025, Trealbe Calcio, Nosari Rossi, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 5, Andata, CSI
08/11/2025, Pol.Or.San Tomaso, Agnelli Olimpia R, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 5, Andata, CSI
15/11/2025, Nosari Rossi, Pol.Or.San Tomaso, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 6, Andata, CSI
15/11/2025, Agnelli Olimpia B, Trealbe Calcio, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 6, Andata, CSI
16/11/2025, Nosari Bianchi, Or.Villaggiosposi, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 6, Andata, CSI
15/11/2025, Or.Albino 2017, San Paolo Ap, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 6, Andata, CSI
15/11/2025, Agnelli Olimpia R, Pol.Dei Colli, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 6, Andata, CSI
23/11/2025, San Paolo Ap, Pol.Dei Colli, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 7, Andata, CSI
22/11/2025, Or.Villaggiosposi, Or.Albino 2017, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 7, Andata, CSI
22/11/2025, Trealbe Calcio, Nosari Bianchi, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 7, Andata, CSI
22/11/2025, Pol.Or.San Tomaso, Agnelli Olimpia B, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 7, Andata, CSI
22/11/2025, Nosari Rossi, Agnelli Olimpia R, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 7, Andata, CSI
29/11/2025, Agnelli Olimpia B, Nosari Rossi, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 8, Andata, CSI
30/11/2025, Nosari Bianchi, Pol.Or.San Tomaso, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 8, Andata, CSI
29/11/2025, Or.Albino 2017, Trealbe Calcio, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 8, Andata, CSI
29/11/2025, Pol.Dei Colli, Or.Villaggiosposi, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 8, Andata, CSI
30/11/2025, San Paolo Ap, Agnelli Olimpia R, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 8, Andata, CSI
06/12/2025, Or.Villaggiosposi, San Paolo Ap, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 9, Andata, CSI
06/12/2025, Trealbe Calcio, Pol.Dei Colli, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 9, Andata, CSI
06/12/2025, Pol.Or.San Tomaso, Or.Albino 2017, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 9, Andata, CSI
06/12/2025, Nosari Rossi, Nosari Bianchi, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 9, Andata, CSI
06/12/2025, Agnelli Olimpia R, Agnelli Olimpia B, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 9, Andata, CSI
07/02/2026, Agnelli Olimpia B, Nosari Bianchi, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 1, Ritorno, CSI
07/02/2026, Nosari Rossi, Or.Albino 2017, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 1, Ritorno, CSI
07/02/2026, Pol.Or.San Tomaso, Pol.Dei Colli, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 1, Ritorno, CSI
07/02/2026, Trealbe Calcio, San Paolo Ap, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 1, Ritorno, CSI
07/02/2026, Agnelli Olimpia R, Or.Villaggiosposi, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 1, Ritorno, CSI
14/02/2026, Or.Villaggiosposi, Trealbe Calcio, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 2, Ritorno, CSI
15/02/2026, San Paolo Ap, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 2, Ritorno, CSI
14/02/2026, Pol.Dei Colli, Nosari Rossi, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 2, Ritorno, CSI
14/02/2026, Or.Albino 2017, Agnelli Olimpia B, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 2, Ritorno, CSI
15/02/2026, Nosari Bianchi, Agnelli Olimpia R, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 2, Ritorno, CSI
22/02/2026, Nosari Bianchi, Or.Albino 2017, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 3, Ritorno, CSI
21/02/2026, Agnelli Olimpia B, Pol.Dei Colli, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 3, Ritorno, CSI
21/02/2026, Nosari Rossi, San Paolo Ap, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 3, Ritorno, CSI
21/02/2026, Pol.Or.San Tomaso, Or.Villaggiosposi, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 3, Ritorno, CSI
21/02/2026, Agnelli Olimpia R, Trealbe Calcio, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 3, Ritorno, CSI
28/02/2026, Trealbe Calcio, Pol.Or.San Tomaso, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 4, Ritorno, CSI
28/02/2026, Or.Villaggiosposi, Nosari Rossi, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 4, Ritorno, CSI
01/03/2026, San Paolo Ap, Agnelli Olimpia B, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 4, Ritorno, CSI
28/02/2026, Pol.Dei Colli, Nosari Bianchi, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 4, Ritorno, CSI
28/02/2026, Or.Albino 2017, Agnelli Olimpia R, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 4, Ritorno, CSI
07/03/2026, Or.Albino 2017, Pol.Dei Colli, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 5, Ritorno, CSI
08/03/2026, Nosari Bianchi, San Paolo Ap, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 5, Ritorno, CSI
07/03/2026, Agnelli Olimpia B, Or.Villaggiosposi, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 5, Ritorno, CSI
07/03/2026, Nosari Rossi, Trealbe Calcio, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 5, Ritorno, CSI
07/03/2026, Agnelli Olimpia R, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 5, Ritorno, CSI
14/03/2026, Pol.Or.San Tomaso, Nosari Rossi, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 6, Ritorno, CSI
14/03/2026, Trealbe Calcio, Agnelli Olimpia B, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 6, Ritorno, CSI
14/03/2026, Or.Villaggiosposi, Nosari Bianchi, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 6, Ritorno, CSI
15/03/2026, San Paolo Ap, Or.Albino 2017, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 6, Ritorno, CSI
14/03/2026, Pol.Dei Colli, Agnelli Olimpia R, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 6, Ritorno, CSI
21/03/2026, Pol.Dei Colli, San Paolo Ap, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 7, Ritorno, CSI
21/03/2026, Or.Albino 2017, Or.Villaggiosposi, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 7, Ritorno, CSI
22/03/2026, Nosari Bianchi, Trealbe Calcio, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 7, Ritorno, CSI
21/03/2026, Agnelli Olimpia B, Pol.Or.San Tomaso, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 7, Ritorno, CSI
21/03/2026, Agnelli Olimpia R, Nosari Rossi, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 7, Ritorno, CSI
28/03/2026, Nosari Rossi, Agnelli Olimpia B, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 8, Ritorno, CSI
28/03/2026, Pol.Or.San Tomaso, Nosari Bianchi, Pulcini a 7, R, 14:00, Oratorio Sintetico Via Elba 17 24126 Bergamo San Tomaso, 8, Ritorno, CSI
28/03/2026, Trealbe Calcio, Or.Albino 2017, Pulcini a 7, R, 15:45, Oratorio Sintetico Piazza Conciliazione 1 24048 Treviolo Albegno, 8, Ritorno, CSI
28/03/2026, Or.Villaggiosposi, Pol.Dei Colli, Pulcini a 7, R, 15:00, Oratorio Sintetico Via Cantu 1 24127 Bergamo Villaggio Sp, 8, Ritorno, CSI
28/03/2026, Agnelli Olimpia R, San Paolo Ap, Pulcini a 7, R, 14:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 8, Ritorno, CSI
12/04/2026, San Paolo Ap, Or.Villaggiosposi, Pulcini a 7, R, 14:30, Oratorio Sint Piazzale S Paolo 35 24128 Bergamo San Paolo, 9, Ritorno, CSI
11/04/2026, Pol.Dei Colli, Trealbe Calcio, Pulcini a 7, R, 14:30, Or.Ordival Sintetico Via Zarda 1 24123 Bergamo Valtesse, 9, Ritorno, CSI
11/04/2026, Or.Albino 2017, Pol.Or.San Tomaso, Pulcini a 7, R, 14:30, Oratorio Sintetico Via Don C Rossi 10 24021 Albino, 9, Ritorno, CSI
12/04/2026, Nosari Bianchi, Nosari Rossi, Pulcini a 7, R, 16:00, Oratorio Sintetico Via Greppi 6 24122 Bergamo Immacolata, 9, Ritorno, CSI
11/04/2026, Agnelli Olimpia B, Agnelli Olimpia R, Pulcini a 7, R, 15:30, Oratorio Sint Via B Go Palazzo 45 24125 Bergamo, 9, Ritorno, CSI




