Data,Squadra casa,Squadra ospite,Categoria,Girone,Ora di gioco,Indirizzo campo di gioco,Giornata,A/R,Federazione
04/10/2025,A.C. PONTE S.P. - MAPELLO,CISANESE A.S.D.,PULCINI 7>7 10 anni,H,17:30,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,1,Andata,FIGC
04/10/2025,LA PASSIONE DI YARA A.S.D,ACCADEMIA SPORTIMAGNA,PULCINI 7>7 10 anni,H,14:30,PALADINA VIA DEGLI ALPINI N.1,1,Andata,FIGC
04/10/2025,MONVICO A.S.D. SQ.B,PONTISOLA CALCIO,PULCINI 7>7 10 anni,H,15:30,CARVICO VIA PEDRAZZI,1,Andata,FIGC
04/10/2025,VILLA VALLE SSD ARL SQ.B,ALME,PULCINI 7>7 10 anni,H,14:30,VILLA D'ALME' VIA RONCO BASSO,1,Andata,FIGC
04/10/2025,ZOGNESE,FOOTBALL AMBIVERE,PULCINI 7>7 10 anni,H,14:30,ZOGNO VIA CAMANCHE SNC - CAMANGHE,1,Andata,FIGC
11/10/2025,ACCADEMIA SPORTIMAGNA,VILLA VALLE SSD ARL SQ.B,PULCINI 7>7 10 anni,H,14:00,BERBENNO VIA STOPPANI,2,Andata,FIGC
11/10/2025,ALME,A.C. PONTE S.P. - MAPELLO,PULCINI 7>7 10 anni,H,15:00,ALME' VIA OLIMPIA,2,Andata,FIGC
11/10/2025,CISANESE A.S.D.,MONVICO A.S.D. SQ.B,PULCINI 7>7 10 anni,H,15:00,CISANO BERGAMASCO VIA CA' DE' VOLPI N째7,2,Andata,FIGC
11/10/2025,FOOTBALL AMBIVERE,LA PASSIONE DI YARA A.S.D,PULCINI 7>7 10 anni,H,14:30,AMBIVERE VIA LEOPARDI SNC,2,Andata,FIGC
11/10/2025,PONTISOLA CALCIO,ZOGNESE,PULCINI 7>7 10 anni,H,14:15,MAPELLO VIA DEL LAZZARINO,2,Andata,FIGC
18/10/2025,ALME,ACCADEMIA SPORTIMAGNA,PULCINI 7>7 10 anni,H,15:00,ALME' VIA OLIMPIA,3,Andata,FIGC
18/10/2025,LA PASSIONE DI YARA A.S.D,PONTISOLA CALCIO,PULCINI 7>7 10 anni,H,14:30,PALADINA VIA DEGLI ALPINI N.1,3,Andata,FIGC
18/10/2025,MONVICO A.S.D. SQ.B,A.C. PONTE S.P. - MAPELLO,PULCINI 7>7 10 anni,H,15:30,CARVICO VIA PEDRAZZI,3,Andata,FIGC
18/10/2025,VILLA VALLE SSD ARL SQ.B,FOOTBALL AMBIVERE,PULCINI 7>7 10 anni,H,14:30,VILLA D'ALME' VIA RONCO BASSO,3,Andata,FIGC
18/10/2025,ZOGNESE,CISANESE A.S.D.,PULCINI 7>7 10 anni,H,14:30,ZOGNO VIA CAMANCHE SNC - CAMANGHE,3,Andata,FIGC
25/10/2025,A.C. PONTE S.P. - MAPELLO,ZOGNESE,PULCINI 7>7 10 anni,H,17:30,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,4,Andata,FIGC
25/10/2025,CISANESE A.S.D.,LA PASSIONE DI YARA A.S.D,PULCINI 7>7 10 anni,H,15:00,CISANO BERGAMASCO VIA CA' DE' VOLPI N째7,4,Andata,FIGC
25/10/2025,FOOTBALL AMBIVERE,ACCADEMIA SPORTIMAGNA,PULCINI 7>7 10 anni,H,14:30,AMBIVERE VIA LEOPARDI SNC,4,Andata,FIGC
25/10/2025,MONVICO A.S.D. SQ.B,ALME,PULCINI 7>7 10 anni,H,15:30,CARVICO VIA PEDRAZZI,4,Andata,FIGC
25/10/2025,PONTISOLA CALCIO,VILLA VALLE SSD ARL SQ.B,PULCINI 7>7 10 anni,H,14:15,MAPELLO VIA DEL LAZZARINO,4,Andata,FIGC
01/11/2025,ACCADEMIA SPORTIMAGNA,PONTISOLA CALCIO,PULCINI 7>7 10 anni,H,14:00,BERBENNO VIA STOPPANI,5,Andata,FIGC
01/11/2025,ALME,FOOTBALL AMBIVERE,PULCINI 7>7 10 anni,H,15:00,ALME' VIA OLIMPIA,5,Andata,FIGC
01/11/2025,LA PASSIONE DI YARA A.S.D,A.C. PONTE S.P. - MAPELLO,PULCINI 7>7 10 anni,H,14:30,PALADINA VIA DEGLI ALPINI N.1,5,Andata,FIGC
01/11/2025,VILLA VALLE SSD ARL SQ.B,CISANESE A.S.D.,PULCINI 7>7 10 anni,H,14:30,VILLA D'ALME' VIA RONCO BASSO,5,Andata,FIGC
01/11/2025,ZOGNESE,MONVICO A.S.D. SQ.B,PULCINI 7>7 10 anni,H,14:30,ZOGNO VIA CAMANCHE SNC - CAMANGHE,5,Andata,FIGC
08/11/2025,A.C. PONTE S.P. - MAPELLO,VILLA VALLE SSD ARL SQ.B,PULCINI 7>7 10 anni,H,17:30,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,6,Andata,FIGC
08/11/2025,CISANESE A.S.D.,ACCADEMIA SPORTIMAGNA,PULCINI 7>7 10 anni,H,15:00,CISANO BERGAMASCO VIA CA' DE' VOLPI N째7,6,Andata,FIGC
08/11/2025,MONVICO A.S.D. SQ.B,LA PASSIONE DI YARA A.S.D,PULCINI 7>7 10 anni,H,15:30,CARVICO VIA PEDRAZZI,6,Andata,FIGC
08/11/2025,PONTISOLA CALCIO,FOOTBALL AMBIVERE,PULCINI 7>7 10 anni,H,14:15,MAPELLO VIA DEL LAZZARINO,6,Andata,FIGC
08/11/2025,ZOGNESE,ALME,PULCINI 7>7 10 anni,H,14:30,ZOGNO VIA CAMANCHE SNC - CAMANGHE,6,Andata,FIGC
15/11/2025,ACCADEMIA SPORTIMAGNA,A.C. PONTE S.P. - MAPELLO,PULCINI 7>7 10 anni,H,14:00,BERBENNO VIA STOPPANI,7,Andata,FIGC
15/11/2025,ALME,PONTISOLA CALCIO,PULCINI 7>7 10 anni,H,15:00,ALME' VIA OLIMPIA,7,Andata,FIGC
15/11/2025,FOOTBALL AMBIVERE,CISANESE A.S.D.,PULCINI 7>7 10 anni,H,14:30,AMBIVERE VIA LEOPARDI SNC,7,Andata,FIGC
15/11/2025,LA PASSIONE DI YARA A.S.D,ZOGNESE,PULCINI 7>7 10 anni,H,14:30,PALADINA VIA DEGLI ALPINI N.1,7,Andata,FIGC
15/11/2025,VILLA VALLE SSD ARL SQ.B,MONVICO A.S.D. SQ.B,PULCINI 7>7 10 anni,H,14:30,VILLA D'ALME' VIA RONCO BASSO,7,Andata,FIGC
22/11/2025,A.C. PONTE S.P. - MAPELLO,FOOTBALL AMBIVERE,PULCINI 7>7 10 anni,H,17:30,PONTE SAN PIETRO ZONA CLINICA VIA XXIV MAGGIO,8,Andata,FIGC
22/11/2025,CISANESE A.S.D.,PONTISOLA CALCIO,PULCINI 7>7 10 anni,H,15:00,CISANO BERGAMASCO VIA CA' DE' VOLPI N째7,8,Andata,FIGC
22/11/2025,LA PASSIONE DI YARA A.S.D,ALME,PULCINI 7>7 10 anni,H,14:30,PALADINA VIA DEGLI ALPINI N.1,8,Andata,FIGC
22/11/2025,MONVICO A.S.D. SQ.B,ACCADEMIA SPORTIMAGNA,PULCINI 7>7 10 anni,H,15:30,CARVICO VIA PEDRAZZI,8,Andata,FIGC
22/11/2025,ZOGNESE,VILLA VALLE SSD ARL SQ.B,PULCINI 7>7 10 anni,H,14:30,ZOGNO VIA CAMANCHE SNC - CAMANGHE,8,Andata,FIGC
29/11/2025,ACCADEMIA SPORTIMAGNA,ZOGNESE,PULCINI 7>7 10 anni,H,14:00,BERBENNO VIA STOPPANI,9,Andata,FIGC
29/11/2025,ALME,CISANESE A.S.D.,PULCINI 7>7 10 anni,H,15:00,ALME' VIA OLIMPIA,9,Andata,FIGC
29/11/2025,FOOTBALL AMBIVERE,MONVICO A.S.D. SQ.B,PULCINI 7>7 10 anni,H,14:30,AMBIVERE VIA LEOPARDI SNC,9,Andata,FIGC
29/11/2025,PONTISOLA CALCIO,A.C. PONTE S.P. - MAPELLO,PULCINI 7>7 10 anni,H,14:15,MAPELLO VIA DEL LAZZARINO,9,Andata,FIGC
29/11/2025,VILLA VALLE SSD ARL SQ.B,LA PASSIONE DI YARA A.S.D,PULCINI 7>7 10 anni,H,14:30,VILLA D'ALME' VIA RONCO BASSO,9,Andata,FIGC
