04/10/2025, Aurora Seriate 1967, Nova Montello, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,1, andata, FIGC
04/10/2025, Azzano Calcio ASD, Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,1, andata, FIGC
04/10/2025, Fiorente 1946 Colognola, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 14:30, Bergamo Q.RE Colognola VIA S.SISTO 9,1, andata, FIGC
04/10/2025, La Torre Calcio A.S.D., Ponteranica, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,1, andata, FIGC
04/10/2025, Scanzorosciate Calcio ASD, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,1, andata, FIGC
11/10/2025, Albinoleffe S.R.L., La Torre Calcio A.S.D., Pulcini 7x7 9 anni, C, 14:00, Zanica VIA COMUN NUOVO 26-28,2, andata, FIGC
11/10/2025, Juvenes Gianni Radici, Aurora Seriate 1967, Pulcini 7x7 9 anni, C, 15:30, Casnigo VIA EUROPA,2, andata, FIGC
11/10/2025, Juvenes Gianni Radici SQ.B, Azzano Calcio ASD, Pulcini 7x7 9 anni, C, 14:30, Casnigo VIA EUROPA,2, andata, FIGC
11/10/2025, Nova Montello, Scanzorosciate Calcio ASD, Pulcini 7x7 9 anni, C, 15:00, Montello VIA L.ARIOSTO,2, andata, FIGC
11/10/2025, Ponteranica, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,2, andata, FIGC
18/10/2025, Aurora Seriate 1967, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,3, andata, FIGC
18/10/2025, Azzano Calcio ASD, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,3, andata, FIGC
18/10/2025, La Torre Calcio A.S.D., Nova Montello, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,3, andata, FIGC
18/10/2025, Ponteranica, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,3, andata, FIGC
18/10/2025, Scanzorosciate Calcio ASD, Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,3, andata, FIGC
25/10/2025, Azzano Calcio ASD, Ponteranica, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,4, andata, FIGC
25/10/2025, Fiorente 1946 Colognola, Aurora Seriate 1967, Pulcini 7x7 9 anni, C, 14:30, Bergamo Q.RE Colognola VIA S.SISTO 9,4, andata, FIGC
25/10/2025, Juvenes Gianni Radici, La Torre Calcio A.S.D., Pulcini 7x7 9 anni, C, 15:30, Casnigo VIA EUROPA,4, andata, FIGC
25/10/2025, Juvenes Gianni Radici SQ.B, Scanzorosciate Calcio ASD, Pulcini 7x7 9 anni, C, 14:30, Casnigo VIA EUROPA,4, andata, FIGC
25/10/2025, Nova Montello, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 15:00, Montello VIA L.ARIOSTO,4, andata, FIGC
01/11/2025, Albinoleffe S.R.L., Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 14:00, Zanica VIA COMUN NUOVO 26-28,5, andata, FIGC
01/11/2025, Aurora Seriate 1967, Azzano Calcio ASD, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,5, andata, FIGC
01/11/2025, La Torre Calcio A.S.D., Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,5, andata, FIGC
01/11/2025, Ponteranica, Nova Montello, Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,5, andata, FIGC
01/11/2025, Scanzorosciate Calcio ASD, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,5, andata, FIGC
08/11/2025, Aurora Seriate 1967, Ponteranica, Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,6, andata, FIGC
08/11/2025, Azzano Calcio ASD, Scanzorosciate Calcio ASD, Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,6, andata, FIGC
08/11/2025, Fiorente 1946 Colognola, La Torre Calcio A.S.D., Pulcini 7x7 9 anni, C, 14:30, Bergamo Q.RE Colognola VIA S.SISTO 9,6, andata, FIGC
08/11/2025, Juvenes Gianni Radici, Nova Montello, Pulcini 7x7 9 anni, C, 15:30, Casnigo VIA EUROPA,6, andata, FIGC
08/11/2025, Juvenes Gianni Radici SQ.B, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 14:30, Casnigo VIA EUROPA,6, andata, FIGC
15/11/2025, Albinoleffe S.R.L., Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 14:00, Zanica VIA COMUN NUOVO 26-28,7, andata, FIGC
15/11/2025, La Torre Calcio A.S.D., Azzano Calcio ASD, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,7, andata, FIGC
15/11/2025, Nova Montello, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 15:00, Montello VIA L.ARIOSTO,7, andata, FIGC
15/11/2025, Ponteranica, Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,7, andata, FIGC
15/11/2025, Scanzorosciate Calcio ASD, Aurora Seriate 1967, Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,7, andata, FIGC
22/11/2025, Aurora Seriate 1967, La Torre Calcio A.S.D., Pulcini 7x7 9 anni, C, 14:00, Seriate VIA DECO E CANETTA 66,8, andata, FIGC
22/11/2025, Azzano Calcio ASD, Albinoleffe S.R.L., Pulcini 7x7 9 anni, C, 15:00, Azzano San Paolo VIA STEZZANO 33,8, andata, FIGC
22/11/2025, Fiorente 1946 Colognola, Nova Montello, Pulcini 7x7 9 anni, C, 14:30, Bergamo Q.RE Colognola VIA S.SISTO 9,8, andata, FIGC
22/11/2025, Juvenes Gianni Radici SQ.B, Juvenes Gianni Radici, Pulcini 7x7 9 anni, C, 14:30, Casnigo VIA EUROPA,8, andata, FIGC
22/11/2025, Scanzorosciate Calcio ASD, Ponteranica, Pulcini 7x7 9 anni, C, 14:30, Scanzorosciate VIA POLCAREZZO 2,8, andata, FIGC
29/11/2025, Albinoleffe S.R.L., Aurora Seriate 1967, Pulcini 7x7 9 anni, C, 14:00, Zanica VIA COMUN NUOVO 26-28,9, andata, FIGC
29/11/2025, Juvenes Gianni Radici, Fiorente 1946 Colognola, Pulcini 7x7 9 anni, C, 15:30, Casnigo VIA EUROPA,9, andata, FIGC
29/11/2025, La Torre Calcio A.S.D., Scanzorosciate Calcio ASD, Pulcini 7x7 9 anni, C, 16:30, Torre Boldone VIALE LOMBARDIA 44,9, andata, FIGC
29/11/2025, Nova Montello, Azzano Calcio ASD, Pulcini 7x7 9 anni, C, 15:00, Montello VIA L.ARIOSTO,9, andata, FIGC
29/11/2025, Ponteranica, Juvenes Gianni Radici SQ.B, Pulcini 7x7 9 anni, C, 15:00, Ponteranica VIA VIII MARZO,9, andata, FIGC
